oper,para,end_tm,value
OP001,TEMP,2025-01-24 00:00:00,20.74
OP001,TEMP,2025-01-24 06:00:00,26.49
OP001,TEMP,2025-01-24 12:00:00,21.36
OP001,TEMP,2025-01-24 18:00:00,14.22
OP001,TEMP,2025-01-25 00:00:00,22.99
OP001,TEMP,2025-01-25 06:00:00,27.92
OP001,TEMP,2025-01-25 12:00:00,22.41
OP001,TEMP,2025-01-25 18:00:00,16.93
OP001,TEMP,2025-01-26 00:00:00,19.94
OP001,TEMP,2025-01-26 06:00:00,26.93
OP001,TEMP,2025-01-26 12:00:00,22.09
OP001,TEMP,2025-01-26 18:00:00,16.17
OP001,TEMP,2025-01-27 00:00:00,22.91
OP001,TEMP,2025-01-27 06:00:00,29.04
OP001,TEMP,2025-01-27 12:00:00,27.01
OP001,TEMP,2025-01-27 18:00:00,18.59
OP001,TEMP,2025-01-28 00:00:00,24.29
OP001,TEMP,2025-01-28 06:00:00,28.63
OP001,TEMP,2025-01-28 12:00:00,19.94
OP001,TEMP,2025-01-28 18:00:00,18.73
OP001,TEMP,2025-01-29 00:00:00,24.5
OP001,TEMP,2025-01-29 06:00:00,34.3
OP001,TEMP,2025-01-29 12:00:00,23.99
OP001,TEMP,2025-01-29 18:00:00,19.98
OP001,TEMP,2025-01-30 00:00:00,24.93
OP001,TEMP,2025-01-30 06:00:00,27.66
OP001,TEMP,2025-01-30 12:00:00,27.29
OP001,TEMP,2025-01-30 18:00:00,21.5
OP001,TEMP,2025-01-31 00:00:00,27.21
OP001,TEMP,2025-01-31 06:00:00,28.8
OP001,TEMP,2025-01-31 12:00:00,28.43
OP001,TEMP,2025-01-31 18:00:00,17.82
OP001,PRESSURE,2025-01-01 00:00:00,101.8
OP001,PRESSURE,2025-01-01 06:00:00,110.0
OP001,PRESSURE,2025-01-01 12:00:00,98.64
OP001,PRESSURE,2025-01-01 18:00:00,94.49
OP001,PRESSURE,2025-01-02 00:00:00,101.42
OP001,PRESSURE,2025-01-02 06:00:00,105.21
OP001,PRESSURE,2025-01-02 12:00:00,98.12
OP001,PRESSURE,2025-01-02 18:00:00,96.36
OP001,PRESSURE,2025-01-03 00:00:00,99.64
OP001,PRESSURE,2025-01-03 06:00:00,107.71
OP001,PRESSURE,2025-01-03 12:00:00,99.92
OP001,PRESSURE,2025-01-03 18:00:00,99.86
OP001,PRESSURE,2025-01-04 00:00:00,100.66
OP001,PRESSURE,2025-01-04 06:00:00,106.59
OP001,PRESSURE,2025-01-04 12:00:00,103.86
OP001,PRESSURE,2025-01-04 18:00:00,94.77
OP001,PRESSURE,2025-01-05 00:00:00,103.05
OP001,PRESSURE,2025-01-05 06:00:00,110.21
OP001,PRESSURE,2025-01-05 12:00:00,99.38
OP001,PRESSURE,2025-01-05 18:00:00,97.97
OP001,PRESSURE,2025-01-06 00:00:00,103.37
OP001,PRESSURE,2025-01-06 06:00:00,109.42
OP001,PRESSURE,2025-01-06 12:00:00,100.38
OP001,PRESSURE,2025-01-06 18:00:00,95.21
OP001,PRESSURE,2025-01-07 00:00:00,104.03
OP001,PRESSURE,2025-01-07 06:00:00,108.58
OP001,PRESSURE,2025-01-07 12:00:00,103.48
OP001,PRESSURE,2025-01-07 18:00:00,98.68
OP001,PRESSURE,2025-01-08 00:00:00,101.62
OP001,PRESSURE,2025-01-08 06:00:00,108.45
OP001,PRESSURE,2025-01-08 12:00:00,103.57
OP001,PRESSURE,2025-01-08 18:00:00,96.55
OP001,PRESSURE,2025-01-09 00:00:00,106.58
OP001,PRESSURE,2025-01-09 06:00:00,108.8
OP001,PRESSURE,2025-01-09 12:00:00,100.47
OP001,PRESSURE,2025-01-09 18:00:00,99.17
OP001,PRESSURE,2025-01-10 00:00:00,100.65
OP001,PRESSURE,2025-01-10 06:00:00,109.17
OP001,PRESSURE,2025-01-10 12:00:00,104.92
OP001,PRESSURE,2025-01-10 18:00:00,95.96
OP001,PRESSURE,2025-01-11 00:00:00,104.16
OP001,PRESSURE,2025-01-11 06:00:00,108.05
OP001,PRESSURE,2025-01-11 12:00:00,103.87
OP001,PRESSURE,2025-01-11 18:00:00,101.02
OP001,PRESSURE,2025-01-12 00:00:00,101.27
OP001,PRESSURE,2025-01-12 06:00:00,105.26
OP001,PRESSURE,2025-01-12 12:00:00,99.98
OP001,PRESSURE,2025-01-12 18:00:00,95.13
OP001,PRESSURE,2025-01-13 00:00:00,101.07
OP001,PRESSURE,2025-01-13 06:00:00,106.9
OP001,PRESSURE,2025-01-13 12:00:00,101.77
OP001,PRESSURE,2025-01-13 18:00:00,97.87
OP001,PRESSURE,2025-01-14 00:00:00,100.65
OP001,PRESSURE,2025-01-14 06:00:00,108.53
OP001,PRESSURE,2025-01-14 12:00:00,100.09
OP001,PRESSURE,2025-01-14 18:00:00,101.06
OP001,PRESSURE,2025-01-15 00:00:00,101.25
OP001,PRESSURE,2025-01-15 06:00:00,103.29
OP001,PRESSURE,2025-01-15 12:00:00,97.86
OP001,PRESSURE,2025-01-15 18:00:00,95.96
OP001,PRESSURE,2025-01-16 00:00:00,98.93
OP001,PRESSURE,2025-01-16 06:00:00,105.8
OP001,PRESSURE,2025-01-16 12:00:00,100.32
OP001,PRESSURE,2025-01-16 18:00:00,94.23
OP001,PRESSURE,2025-01-17 00:00:00,97.09
OP001,PRESSURE,2025-01-17 06:00:00,100.75
OP001,PRESSURE,2025-01-17 12:00:00,97.89
OP001,PRESSURE,2025-01-17 18:00:00,95.49
OP001,PRESSURE,2025-01-18 00:00:00,98.66
OP001,PRESSURE,2025-01-18 06:00:00,100.75
OP001,PRESSURE,2025-01-18 12:00:00,98.58
OP001,PRESSURE,2025-01-18 18:00:00,94.01
OP001,PRESSURE,2025-01-19 00:00:00,96.0
OP001,PRESSURE,2025-01-19 06:00:00,103.08
OP001,PRESSURE,2025-01-19 12:00:00,97.89
OP001,PRESSURE,2025-01-19 18:00:00,90.48
OP001,PRESSURE,2025-01-20 00:00:00,98.12
OP001,PRESSURE,2025-01-20 06:00:00,103.52
OP001,PRESSURE,2025-01-20 12:00:00,99.57
OP001,PRESSURE,2025-01-20 18:00:00,94.51
OP001,PRESSURE,2025-01-21 00:00:00,94.39
OP001,PRESSURE,2025-01-21 06:00:00,100.27
OP001,PRESSURE,2025-01-21 12:00:00,98.18
OP001,PRESSURE,2025-01-21 18:00:00,93.17
OP001,PRESSURE,2025-01-22 00:00:00,98.05
OP001,PRESSURE,2025-01-22 06:00:00,109.72
OP001,PRESSURE,2025-01-22 12:00:00,98.16
OP001,PRESSURE,2025-01-22 18:00:00,94.29
OP001,PRESSURE,2025-01-23 00:00:00,98.92
OP001,PRESSURE,2025-01-23 06:00:00,103.32
OP001,PRESSURE,2025-01-23 12:00:00,96.39
OP001,PRESSURE,2025-01-23 18:00:00,93.53
OP001,PRESSURE,2025-01-24 00:00:00,95.6
OP001,PRESSURE,2025-01-24 06:00:00,101.67
OP001,PRESSURE,2025-01-24 12:00:00,96.18
OP001,PRESSURE,2025-01-24 18:00:00,92.31
OP001,PRESSURE,2025-01-25 00:00:00,102.03
OP001,PRESSURE,2025-01-25 06:00:00,98.67
OP001,PRESSURE,2025-01-25 12:00:00,98.77
OP001,PRESSURE,2025-01-25 18:00:00,89.18
OP001,PRESSURE,2025-01-26 00:00:00,96.83
OP001,PRESSURE,2025-01-26 06:00:00,104.95
OP001,PRESSURE,2025-01-26 12:00:00,97.9
OP001,PRESSURE,2025-01-26 18:00:00,90.62
OP001,PRESSURE,2025-01-27 00:00:00,96.81
OP001,PRESSURE,2025-01-27 06:00:00,104.6
OP001,PRESSURE,2025-01-27 12:00:00,96.78
OP001,PRESSURE,2025-01-27 18:00:00,93.67
OP001,PRESSURE,2025-01-28 00:00:00,98.87
OP001,PRESSURE,2025-01-28 06:00:00,102.48
OP001,PRESSURE,2025-01-28 12:00:00,103.07
OP001,PRESSURE,2025-01-28 18:00:00,95.05
OP001,PRESSURE,2025-01-29 00:00:00,95.33
OP001,PRESSURE,2025-01-29 06:00:00,104.75
OP001,PRESSURE,2025-01-29 12:00:00,98.05
OP001,PRESSURE,2025-01-29 18:00:00,96.08
OP001,PRESSURE,2025-01-30 00:00:00,98.41
OP001,PRESSURE,2025-01-30 06:00:00,104.77
OP001,PRESSURE,2025-01-30 12:00:00,101.01
OP001,PRESSURE,2025-01-30 18:00:00,96.73
OP001,PRESSURE,2025-01-31 00:00:00,98.22
OP001,PRESSURE,2025-01-31 06:00:00,104.95
OP001,PRESSURE,2025-01-31 12:00:00,99.67
OP001,PRESSURE,2025-01-31 18:00:00,94.32
OP002,TEMP,2025-01-01 00:00:00,29.15
OP002,TEMP,2025-01-01 06:00:00,31.43
OP002,TEMP,2025-01-01 12:00:00,23.1
OP002,TEMP,2025-01-01 18:00:00,22.46
OP002,TEMP,2025-01-02 00:00:00,30.46
OP002,TEMP,2025-01-02 06:00:00,33.29
OP002,TEMP,2025-01-02 12:00:00,23.18
OP002,TEMP,2025-01-02 18:00:00,20.25
OP002,TEMP,2025-01-03 00:00:00,29.3
OP002,TEMP,2025-01-03 06:00:00,30.35
OP002,TEMP,2025-01-03 12:00:00,27.65
OP002,TEMP,2025-01-03 18:00:00,23.31
OP002,TEMP,2025-01-04 00:00:00,25.38
OP002,TEMP,2025-01-04 06:00:00,32.11
OP002,TEMP,2025-01-04 12:00:00,20.75
OP002,TEMP,2025-01-04 18:00:00,20.18
OP002,TEMP,2025-01-05 00:00:00,27.09
OP002,TEMP,2025-01-05 06:00:00,30.1
OP002,TEMP,2025-01-05 12:00:00,30.86
OP002,TEMP,2025-01-05 18:00:00,19.74
OP002,TEMP,2025-01-06 00:00:00,26.97
OP002,TEMP,2025-01-06 06:00:00,33.11
OP002,TEMP,2025-01-06 12:00:00,30.74
OP002,TEMP,2025-01-06 18:00:00,19.98
OP002,TEMP,2025-01-07 00:00:00,30.31
OP002,TEMP,2025-01-07 06:00:00,33.0
OP002,TEMP,2025-01-07 12:00:00,26.02
OP002,TEMP,2025-01-07 18:00:00,23.91
OP002,TEMP,2025-01-08 00:00:00,28.38
OP002,TEMP,2025-01-08 06:00:00,31.78
OP002,TEMP,2025-01-08 12:00:00,28.12
OP002,TEMP,2025-01-08 18:00:00,22.21
OP002,TEMP,2025-01-09 00:00:00,28.08
OP002,TEMP,2025-01-09 06:00:00,34.18
OP002,TEMP,2025-01-09 12:00:00,31.03
OP002,TEMP,2025-01-09 18:00:00,20.38
OP002,TEMP,2025-01-10 00:00:00,31.86
OP002,TEMP,2025-01-10 06:00:00,28.69
OP002,TEMP,2025-01-10 12:00:00,27.29
OP002,TEMP,2025-01-10 18:00:00,23.77
OP002,TEMP,2025-01-11 00:00:00,27.79
OP002,TEMP,2025-01-11 06:00:00,30.98
OP002,TEMP,2025-01-11 12:00:00,26.81
OP002,TEMP,2025-01-11 18:00:00,21.24
OP002,TEMP,2025-01-12 00:00:00,25.58
OP002,TEMP,2025-01-12 06:00:00,33.46
OP002,TEMP,2025-01-12 12:00:00,27.48
OP002,TEMP,2025-01-12 18:00:00,20.38
OP002,TEMP,2025-01-13 00:00:00,28.02
OP002,TEMP,2025-01-13 06:00:00,31.83
OP002,TEMP,2025-01-13 12:00:00,27.85
OP002,TEMP,2025-01-13 18:00:00,22.48
OP002,TEMP,2025-01-14 00:00:00,23.97
OP002,TEMP,2025-01-14 06:00:00,29.5
OP002,TEMP,2025-01-14 12:00:00,27.12
OP002,TEMP,2025-01-14 18:00:00,21.84
OP002,TEMP,2025-01-15 00:00:00,24.96
OP002,TEMP,2025-01-15 06:00:00,30.23
OP002,TEMP,2025-01-15 12:00:00,27.56
OP002,TEMP,2025-01-15 18:00:00,18.82
OP002,TEMP,2025-01-16 00:00:00,25.47
OP002,TEMP,2025-01-16 06:00:00,28.97
OP002,TEMP,2025-01-16 12:00:00,23.94
OP002,TEMP,2025-01-16 18:00:00,21.57
OP002,TEMP,2025-01-17 00:00:00,25.43
OP002,TEMP,2025-01-17 06:00:00,30.41
OP002,TEMP,2025-01-17 12:00:00,26.39
OP002,TEMP,2025-01-17 18:00:00,18.82
OP002,TEMP,2025-01-18 00:00:00,24.6
OP002,TEMP,2025-01-18 06:00:00,27.62
OP002,TEMP,2025-01-18 12:00:00,23.88
OP002,TEMP,2025-01-18 18:00:00,17.98
OP002,TEMP,2025-01-19 00:00:00,22.96
OP002,TEMP,2025-01-19 06:00:00,28.96
OP002,TEMP,2025-01-19 12:00:00,21.13
OP002,TEMP,2025-01-19 18:00:00,21.96
OP002,TEMP,2025-01-20 00:00:00,20.39
OP002,TEMP,2025-01-20 06:00:00,24.97
OP002,TEMP,2025-01-20 12:00:00,24.72
OP002,TEMP,2025-01-20 18:00:00,18.99
OP002,TEMP,2025-01-21 00:00:00,23.4
OP002,TEMP,2025-01-21 06:00:00,28.4
OP002,TEMP,2025-01-21 12:00:00,22.12
OP002,TEMP,2025-01-21 18:00:00,15.35
OP002,TEMP,2025-01-22 00:00:00,22.17
OP002,TEMP,2025-01-22 06:00:00,25.66
OP002,TEMP,2025-01-22 12:00:00,23.97
OP002,TEMP,2025-01-22 18:00:00,16.72
OP002,TEMP,2025-01-23 00:00:00,20.37
OP002,TEMP,2025-01-23 06:00:00,26.37
OP002,TEMP,2025-01-23 12:00:00,22.84
OP002,TEMP,2025-01-23 18:00:00,15.89
OP002,TEMP,2025-01-24 00:00:00,20.5
OP002,TEMP,2025-01-24 06:00:00,27.63
OP002,TEMP,2025-01-24 12:00:00,22.64
OP002,TEMP,2025-01-24 18:00:00,16.13
OP002,TEMP,2025-01-25 00:00:00,21.46
OP002,TEMP,2025-01-25 06:00:00,27.87
OP002,TEMP,2025-01-25 12:00:00,19.51
OP002,TEMP,2025-01-25 18:00:00,14.59
OP002,TEMP,2025-01-26 00:00:00,21.33
OP002,TEMP,2025-01-26 06:00:00,27.34
OP002,TEMP,2025-01-26 12:00:00,23.39
OP002,TEMP,2025-01-26 18:00:00,20.72
OP002,TEMP,2025-01-27 00:00:00,24.95
OP002,TEMP,2025-01-27 06:00:00,27.92
OP002,TEMP,2025-01-27 12:00:00,23.2
OP002,TEMP,2025-01-27 18:00:00,16.23
OP002,TEMP,2025-01-28 00:00:00,23.74
OP002,TEMP,2025-01-28 06:00:00,28.2
OP002,TEMP,2025-01-28 12:00:00,24.43
OP002,TEMP,2025-01-28 18:00:00,17.13
OP002,TEMP,2025-01-29 00:00:00,25.41
OP002,TEMP,2025-01-29 06:00:00,32.44
OP002,TEMP,2025-01-29 12:00:00,24.16
OP002,TEMP,2025-01-29 18:00:00,20.18
OP002,TEMP,2025-01-30 00:00:00,26.38
OP002,TEMP,2025-01-30 06:00:00,29.2
OP002,TEMP,2025-01-30 12:00:00,25.45
OP002,TEMP,2025-01-30 18:00:00,20.03
OP002,TEMP,2025-01-31 00:00:00,25.82
OP002,TEMP,2025-01-31 06:00:00,29.08
OP002,TEMP,2025-01-31 12:00:00,25.67
OP002,TEMP,2025-01-31 18:00:00,21.62
OP002,HUMIDITY,2025-01-01 00:00:00,63.53
OP002,HUMIDITY,2025-01-01 06:00:00,67.54
OP002,HUMIDITY,2025-01-01 12:00:00,64.93
OP002,HUMIDITY,2025-01-01 18:00:00,54.09
OP002,HUMIDITY,2025-01-02 00:00:00,62.96
OP002,HUMIDITY,2025-01-02 06:00:00,66.59
OP002,HUMIDITY,2025-01-02 12:00:00,65.6
OP002,HUMIDITY,2025-01-02 18:00:00,54.6
OP002,HUMIDITY,2025-01-03 00:00:00,60.08
OP002,HUMIDITY,2025-01-03 06:00:00,65.56
OP002,HUMIDITY,2025-01-03 12:00:00,57.52
OP002,HUMIDITY,2025-01-03 18:00:00,55.71
OP002,HUMIDITY,2025-01-04 00:00:00,60.71
OP002,HUMIDITY,2025-01-04 06:00:00,67.53
OP002,HUMIDITY,2025-01-04 12:00:00,62.91
OP002,HUMIDITY,2025-01-04 18:00:00,60.98
OP002,HUMIDITY,2025-01-05 00:00:00,64.5
OP002,HUMIDITY,2025-01-05 06:00:00,66.44
OP002,HUMIDITY,2025-01-05 12:00:00,60.8
OP002,HUMIDITY,2025-01-05 18:00:00,58.58
OP002,HUMIDITY,2025-01-06 00:00:00,60.21
OP002,HUMIDITY,2025-01-06 06:00:00,71.52
OP002,HUMIDITY,2025-01-06 12:00:00,65.21
OP002,HUMIDITY,2025-01-06 18:00:00,56.91
OP002,HUMIDITY,2025-01-07 00:00:00,59.56
OP002,HUMIDITY,2025-01-07 06:00:00,70.69
OP002,HUMIDITY,2025-01-07 12:00:00,62.75
OP002,HUMIDITY,2025-01-07 18:00:00,60.46
OP002,HUMIDITY,2025-01-08 00:00:00,59.79
OP002,HUMIDITY,2025-01-08 06:00:00,66.78
OP002,HUMIDITY,2025-01-08 12:00:00,62.99
OP002,HUMIDITY,2025-01-08 18:00:00,58.08
OP002,HUMIDITY,2025-01-09 00:00:00,61.95
OP002,HUMIDITY,2025-01-09 06:00:00,69.1
OP002,HUMIDITY,2025-01-09 12:00:00,60.72
OP002,HUMIDITY,2025-01-09 18:00:00,57.57
OP002,HUMIDITY,2025-01-10 00:00:00,62.84
OP002,HUMIDITY,2025-01-10 06:00:00,68.63
OP002,HUMIDITY,2025-01-10 12:00:00,64.02
OP002,HUMIDITY,2025-01-10 18:00:00,55.35
OP002,HUMIDITY,2025-01-11 00:00:00,59.16
OP002,HUMIDITY,2025-01-11 06:00:00,69.78
OP002,HUMIDITY,2025-01-11 12:00:00,62.89
OP002,HUMIDITY,2025-01-11 18:00:00,55.73
OP002,HUMIDITY,2025-01-12 00:00:00,64.87
OP002,HUMIDITY,2025-01-12 06:00:00,66.99
OP002,HUMIDITY,2025-01-12 12:00:00,64.12
OP002,HUMIDITY,2025-01-12 18:00:00,56.9
OP002,HUMIDITY,2025-01-13 00:00:00,65.34
OP002,HUMIDITY,2025-01-13 06:00:00,69.73
OP002,HUMIDITY,2025-01-13 12:00:00,60.72
OP002,HUMIDITY,2025-01-13 18:00:00,58.16
OP002,HUMIDITY,2025-01-14 00:00:00,61.91
OP002,HUMIDITY,2025-01-14 06:00:00,68.36
OP002,HUMIDITY,2025-01-14 12:00:00,58.69
OP002,HUMIDITY,2025-01-14 18:00:00,57.0
OP002,HUMIDITY,2025-01-15 00:00:00,62.12
OP002,HUMIDITY,2025-01-15 06:00:00,61.48
OP002,HUMIDITY,2025-01-15 12:00:00,57.63
OP002,HUMIDITY,2025-01-15 18:00:00,50.92
OP002,HUMIDITY,2025-01-16 00:00:00,58.84
OP002,HUMIDITY,2025-01-16 06:00:00,65.81
OP002,HUMIDITY,2025-01-16 12:00:00,62.38
OP002,HUMIDITY,2025-01-16 18:00:00,54.52
OP002,HUMIDITY,2025-01-17 00:00:00,62.04
OP002,HUMIDITY,2025-01-17 06:00:00,61.02
OP002,HUMIDITY,2025-01-17 12:00:00,55.37
OP002,HUMIDITY,2025-01-17 18:00:00,53.67
OP002,HUMIDITY,2025-01-18 00:00:00,59.0
OP002,HUMIDITY,2025-01-18 06:00:00,63.17
OP002,HUMIDITY,2025-01-18 12:00:00,54.1
OP002,HUMIDITY,2025-01-18 18:00:00,53.06
OP002,HUMIDITY,2025-01-19 00:00:00,55.16
OP002,HUMIDITY,2025-01-19 06:00:00,64.11
OP002,HUMIDITY,2025-01-19 12:00:00,58.5
OP002,HUMIDITY,2025-01-19 18:00:00,50.89
OP002,HUMIDITY,2025-01-20 00:00:00,56.37
OP002,HUMIDITY,2025-01-20 06:00:00,60.28
OP002,HUMIDITY,2025-01-20 12:00:00,57.28
OP002,HUMIDITY,2025-01-20 18:00:00,54.31
OP002,HUMIDITY,2025-01-21 00:00:00,55.18
OP002,HUMIDITY,2025-01-21 06:00:00,63.15
OP002,HUMIDITY,2025-01-21 12:00:00,56.09
OP002,HUMIDITY,2025-01-21 18:00:00,50.56
OP002,HUMIDITY,2025-01-22 00:00:00,56.8
OP002,HUMIDITY,2025-01-22 06:00:00,59.95
OP002,HUMIDITY,2025-01-22 12:00:00,55.91
OP002,HUMIDITY,2025-01-22 18:00:00,49.62
OP002,HUMIDITY,2025-01-23 00:00:00,60.95
OP002,HUMIDITY,2025-01-23 06:00:00,62.09
OP002,HUMIDITY,2025-01-23 12:00:00,55.62
OP002,HUMIDITY,2025-01-23 18:00:00,52.44
OP002,HUMIDITY,2025-01-24 00:00:00,56.92
OP002,HUMIDITY,2025-01-24 06:00:00,61.7
OP002,HUMIDITY,2025-01-24 12:00:00,58.38
OP002,HUMIDITY,2025-01-24 18:00:00,53.66
OP002,HUMIDITY,2025-01-25 00:00:00,56.34
OP002,HUMIDITY,2025-01-25 06:00:00,61.25
OP002,HUMIDITY,2025-01-25 12:00:00,56.85
OP002,HUMIDITY,2025-01-25 18:00:00,47.8
OP002,HUMIDITY,2025-01-26 00:00:00,54.74
OP002,HUMIDITY,2025-01-26 06:00:00,65.5
OP002,HUMIDITY,2025-01-26 12:00:00,61.06
OP002,HUMIDITY,2025-01-26 18:00:00,52.27
OP002,HUMIDITY,2025-01-27 00:00:00,59.39
OP002,HUMIDITY,2025-01-27 06:00:00,63.86
OP002,HUMIDITY,2025-01-27 12:00:00,64.39
OP002,HUMIDITY,2025-01-27 18:00:00,55.48
OP002,HUMIDITY,2025-01-28 00:00:00,58.52
OP002,HUMIDITY,2025-01-28 06:00:00,61.87
OP002,HUMIDITY,2025-01-28 12:00:00,55.57
OP002,HUMIDITY,2025-01-28 18:00:00,54.19
OP002,HUMIDITY,2025-01-29 00:00:00,57.86
OP002,HUMIDITY,2025-01-29 06:00:00,61.53
OP002,HUMIDITY,2025-01-29 12:00:00,58.08
OP002,HUMIDITY,2025-01-29 18:00:00,52.21
OP002,HUMIDITY,2025-01-30 00:00:00,63.37
OP002,HUMIDITY,2025-01-30 06:00:00,66.76
OP002,HUMIDITY,2025-01-30 12:00:00,59.98
OP002,HUMIDITY,2025-01-30 18:00:00,57.96
OP002,HUMIDITY,2025-01-31 00:00:00,60.78
OP002,HUMIDITY,2025-01-31 06:00:00,63.9
OP002,HUMIDITY,2025-01-31 12:00:00,63.67
OP002,HUMIDITY,2025-01-31 18:00:00,56.7
OP003,FLOW,2025-01-01 00:00:00,48.55
OP003,FLOW,2025-01-01 06:00:00,55.24
OP003,FLOW,2025-01-01 12:00:00,48.87
OP003,FLOW,2025-01-01 18:00:00,42.86
OP003,FLOW,2025-01-02 00:00:00,53.07
OP003,FLOW,2025-01-02 06:00:00,60.04
OP003,FLOW,2025-01-02 12:00:00,48.42
OP003,FLOW,2025-01-02 18:00:00,47.35
OP003,FLOW,2025-01-03 00:00:00,50.46
OP003,FLOW,2025-01-03 06:00:00,55.79
OP003,FLOW,2025-01-03 12:00:00,50.58
OP003,FLOW,2025-01-03 18:00:00,45.04
OP003,FLOW,2025-01-04 00:00:00,52.33
OP003,FLOW,2025-01-04 06:00:00,55.57
OP003,FLOW,2025-01-04 12:00:00,52.77
OP003,FLOW,2025-01-04 18:00:00,47.13
OP003,FLOW,2025-01-05 00:00:00,52.12
